date,change
01/01/2010,3.35294117647
01/01/2010,2.94444444444
01/01/2010,5.2380952381
01/01/2010,25.0
01/01/2010,13.0
01/01/2010,2.38181818182
01/01/2010,2.44444444444
01/01/2010,5.84210526316
01/01/2010,13.0
01/01/2010,8.57142857143
01/01/2010,23.0
01/01/2010,20.0
01/01/2010,9.75
01/01/2010,8.5
01/01/2010,1.80434782609
01/01/2010,4.66666666667
01/01/2010,33.0
01/01/2010,6.625
01/01/2010,23.0
01/01/2010,11.0
01/01/2010,2.36842105263
01/01/2010,4.3064516129
01/01/2010,6.27272727273
01/01/2010,4.6
01/01/2010,14.0
01/01/2010,15.0
01/01/2010,7.0
01/01/2010,4.875
01/01/2010,4.66666666667
01/01/2010,41.0
01/01/2010,1.33333333333
01/01/2010,2.48387096774
01/01/2010,5.25
01/01/2010,12.0
01/01/2010,5.75
01/01/2010,3.0
01/01/2010,30.0
01/01/2010,0.0
01/01/2010,9.5
01/01/2010,9.5
01/01/2010,17.25
01/01/2010,8.0
01/01/2010,6.85714285714
01/01/2010,5.0
01/01/2010,12.0
01/01/2010,12.0
01/01/2010,3.16176470588
01/01/2010,5.46153846154
01/01/2010,4.66666666667
01/01/2010,4.66666666667
01/01/2010,2.3
01/01/2010,1.72282608696
01/01/2010,11.0
01/01/2010,13.0
01/01/2010,27.0
01/01/2010,0.0
01/01/2010,4.375
01/01/2010,9.75
01/01/2010,2.28244274809
01/01/2010,59.0
01/01/2010,20.2
01/01/2010,3.37209302326
01/01/2010,4.06666666667
01/01/2010,43.0
01/01/2010,24.0
01/01/2010,2.50877192982
01/01/2010,3.7619047619
01/01/2010,2.81818181818
01/01/2010,4.5
01/01/2010,4.5
01/01/2010,5.66666666667
01/01/2010,31.0
01/01/2010,9.0
01/01/2010,8.0
01/01/2010,11.5
01/01/2010,4.0
01/01/2010,15.5
01/01/2010,9.28571428571
01/01/2010,7.13333333333
01/01/2010,6.25
01/01/2010,4.0303030303
01/01/2010,1.0
01/01/2010,9.33333333333
